name,city,bedroom,status,location,price_range1,bedroom2,price_range2,bedroom3,price_range3,owner,owner_name,sq.ft_min,sq_ft_max,price_per_sqft
Shree Vishnudhara Essence,ahmedabad,3,"Jun, 2025","Thaltej, Ahmedabad",12500,,32032.6087,,,Builder,Vishnudhara Paradise LLP,950,1834.765625,13.15789474
Shilp Residency,ahmedabad,3,"Jun, 2027","Gota, Ahmedabad",23000,,32032.6087,,,Builder,Shilp Group,1400,1834.765625,16.42857143
Kalasagar Skyline,ahmedabad,4,"Apr, 2028","Shahibaug, Ahmedabad",30000,,32032.6087,,,Builder,V3 Construction Company,1600,1834.765625,18.75
Ashtvinayak Uptown,ahmedabad,2,"Apr, 2023","Motera, Ahmedabad",5400,,32032.6087,,,Builder,Bhoomi Enterprise Gandhinagar,900,1834.765625,6
Archway by Adani Realty,ahmedabad,3,"Mar, 2026","Jagatpur, Ahmedabad",23000,,32032.6087,,,Builder,Adani Realty,1200,1834.765625,19.16666667
Adani Embrace,ahmedabad,3,"Jul, 2027","Vaishnodevi Circle, Ahmedabad North",28700,,32032.6087,,,Builder,Adani Realty,1300,1834.765625,22.07692308
Rameshwar Sky,ahmedabad,2,"Dec, 2027","Visalpur, Ahmedabad",3800,,32032.6087,,,Builder,Rameshwar Developers,800,1834.765625,4.75
Madhav Oeuvre 2,ahmedabad,4,"Jun, 2025","Bodakdev, Ahmedabad",85200,,32032.6087,,,Builder,Madhav Avenue LLP,2200,1834.765625,38.72727273
Cloud 9,ahmedabad,3,"Sep, 2024","Satellite, Ahmedabad",17900,,32032.6087,,,Builder,Vivan Infrastructure and Addor Realty,1100,1834.765625,16.27272727
Anjney Maruti 360,ahmedabad,4,"Dec, 2028","Bodakdev, Ahmedabad",77200,,32032.6087,,,Builder,Anjney Finebuild,1500,1834.765625,51.46666667
Province By Sangath IPL,ahmedabad,3,"Dec, 2025","Zundal, Ahmedabad",8300,,32032.6087,,,Builder,Sangath Pro Llp,800,1834.765625,10.375
Tulive Azpire,Chennai,2,"Mar, 2026","West Tambaram, Chennai",4900,3,6000,,,Builder,Tulive Developers,1000,1200,4.954545455
Navins Starwood Towers 2,Chennai,2,"Dec, 2020","Medavakkam, Chennai",10300,3,12300,,,Builder,Navin's,1200,1400,8.692307692
Chamundeeswary Chang Royale,Chennai,3,"Aug, 2025","Guindy, GST Road",31800,,32032.6087,,,Builder,Chamundeeswary Estates,3300,1834.765625,9.636363636
Risland The Ace,Chennai,1,"Dec, 2024","Perungudi, Chennai",5300,2,10900,,,Builder,Risland India,1100,1834.765625,4.818181818
MP Golden Heights,Chennai,2,"Jun, 2027","Kovur, Chennai",6600,3,7600,,,Builder,MP Developers,1000,1200,6.454545455
SS Square Swasthika,Chennai,2,"Dec, 2025","Thiruverkadu, Chennai",5300,,32032.6087,,,Builder,SS Square Property Developers,900,1834.765625,5.888888889
AlamoXsreal Tuscany,Chennai,1,"Dec,2025","Chettipunniyam, Chennai",3000,,32032.6087,,,Builder,Alamo XS Real,800,1834.765625,3.75
Purva Soukhyam,Chennai,3,"Dec, 2027","Guduvancheri, Chennai",10700,,32032.6087,,,Builder,Purva Land,1400,1834.765625,7.642857143
Pearl Queens Park,Chennai,2,"Jul, 2024","Medavakkam, Chennai",7800,3,8600,,,Builder,Pearl Constructions,1200,1600,5.857142857
Navins Hanging Gardens,Chennai,2,"Mar, 2024","Valasaravakkam, Chennai",15600,3,23800,,,Builder,Navin's,1500,1900,11.58823529
Royale Mriga by Thigazhvan Estate,Chennai,3,"Sep, 2024","Madipakkam, Chennai",21800,4,25200,,,Builder,Thigazhvan,1500,2000,13.42857143
Pearl Araliya,Chennai,3,"Jan, 2026","Perumbakkam, Chennai South",7700,,32032.6087,,,Builder,Pearl Constructions,1400,1834.765625,5.5
CMN Garden Luxury Villas,Chennai,3,"Nov, 2022","Porur, Chennai",21100,,32032.6087,,,Builder,Jehovah Builders,2500,1834.765625,8.44
