builder_name,city,completion_year,building_count,buildings
Builder,mumbai," Nov, 2024",1,Zynergy
Builder,mumbai," Nov, 2028",1,Piramal Revanta
Builder,mumbai,"Dec, 2024",1,Rustomjee Crown
Builder,mumbai,"Dec, 2025 ",1,Piramal Mahalaxmi
Builder,mumbai,"Dec, 2026",2,"Sheth Montana, One Meraki"
Builder,mumbai,"Dec, 2027",1,Lodha Divino
Builder,mumbai,"Dec, 2028",1,Godrej Avenue Eleven
Builder,mumbai,"Dec, 2030",2,"Forest Hills at The Prestige City, Chandak Highscape City"
Builder,mumbai,"Jun, 2025",1,Lodha Aura New Cuffe Parade
Builder,mumbai,"Jun, 2027",1,Ajmera Manhattan
Builder,mumbai,"Jun, 2030",1,Kalpataru Advay
Builder,mumbai,"Sep, 2027",1,Lodha Regalia
