NAME,CITY,BEDROOM,STATUS,LOCATION,PRICE RANGE1,BEDROOM2,PRICE RANGE2,BEDROOM3,PRICE RANGE3,OWNER,OWNER NAME,SQ.FT min,SQ FT max
Rameshwar Sky,ahmedabad,2," Dec, 2027","Visalpur, Ahmedabad",0.38,,,,,Builder,Rameshwar Developers,800,
Madhav Oeuvre 2,ahmedabad,4,"Jun, 2025","Bodakdev, Ahmedabad",8.52,,,,,Builder,Madhav Avenue LLP,2200,
Cloud 9,ahmedabad,3," Sep, 2024","Satellite, Ahmedabad",1.79,,,,,Builder,Vivan Infrastructure and Addor Realty,1100,
Anjney Maruti 360,ahmedabad,4," Dec, 2028","Bodakdev, Ahmedabad",7.72,,,,,Builder,Anjney Finebuild,1500,
Province By Sangath IPL,ahmedabad,3," Dec, 2025","Zundal, Ahmedabad",0.83,,,,,Builder,Sangath Pro Llp,800,
Tulive Azpire,Chennai,2,"Mar, 2026","West Tambaram, Chennai",0.49,3,0.6,,,Builder,Tulive Developers,1000,1200
Navins Starwood Towers 2,Chennai,2,"Dec, 2020","Medavakkam, Chennai",1.03,3,1.23,,,Builder,Navin's,1200,1400
Chamundeeswary Chang Royale,Chennai,3," Aug, 2025","Guindy, GST Road",3.18,,,,,Builder,Chamundeeswary Estates,3300,
Risland The Ace,Chennai,1,"Dec, 2024","Perungudi, Chennai",0.53,2,1.09,,,Builder,Risland India,1100,
MP Golden Heights,Chennai,2,"Jun, 2027","Kovur, Chennai",0.66,3,0.76,,,Builder,MP Developers,1000,1200
SS Square Swasthika,Chennai,2," Dec, 2025","Thiruverkadu, Chennai",0.53,,,,,Builder,SS Square Property Developers,900,
AlamoXsreal Tuscany,Chennai,1,"Dec,2025","Chettipunniyam, Chennai",0.3,,,,,Builder,Alamo XS Real,800,
Purva Soukhyam,Chennai,3," Dec, 2027 ","Guduvancheri, Chennai",1.07,,,,,Builder,Purva Land,1400,
Pearl Queens Park,Chennai,2,"Jul, 2024","Medavakkam, Chennai",0.78,3,0.86,,,Builder,Pearl Constructions,1200,1600
Navins Hanging Gardens,Chennai,2," Mar, 2024","Valasaravakkam, Chennai",1.56,3,2.38,,,Builder,Navin's,1500,1900
Royale Mriga by Thigazhvan Estate,Chennai,3," Sep, 2024","Madipakkam, Chennai",2.18,4,2.52,,,Builder,Thigazhvan,1500,2000
Pearl Araliya,Chennai,3," Jan, 2026","Perumbakkam, Chennai South",0.77,,,,,Builder,Pearl Constructions,1400,
CMN Garden Luxury Villas,Chennai,3," Nov, 2022","Porur, Chennai",2.11,,,,,Builder,Jehovah Builders,2500,
Navins Hillview Avenue,Chennai,2,,"Thirumudivakkam, Chennai",0.72,3,0.9,,,Builder,Navin's,1000,1400
Maple Sky Residences at Navins Starwood,Chennai,2," Dec, 2024","Medavakkam, Chennai",1.05,,,,,Builder,Navin's,1600,
VGN Highland,Chennai,2," Jan, 2024","Tharapakkam, Chennai",0.86,,,,,Builder,VGN Homes,1900,
Pearl Ishaan,Chennai,3,"Jun, 2026","K K Nagar, Nesapakkam, Chennai",2.89,,,,,Builder,Pearl Constructions,3500,
Casagrand Cloud9,Chennai,2," Oct, 2025","Sholinganallur, Chennai",0.9,3,1.25,,,Builder,Casagrand,1500,1800
Casagrand Majestica,Chennai,1,"Oct, 2025","Manapakkam, Chennai",0.9,2,1.12,,,Builder,Casagrand,1000,1200
Casagrand Linore,Chennai,1," Apr, 2026","Kattupakkam, Chennai",0.6,2,0.8,,,Builder,Casa Grande Civil Engineering,1000,1200
Kochar Jewel,Chennai,2," Apr, 2026","Velachery, Chennai South",2.34,3,2.91,,,Builder,Kochar Homes,2000,2500
Elite Akash Garden Guduvancheri,Chennai,1," May, 2024","Guduvancheri, Chennai",1.57,,,,,Builder,Elite Estate,2500,
Casagrand Suncity,Chennai,2,"Jul, 2027","Kelambakkam, Chennai",0.57,3,0.89,,,Builder,Casagrand,1000,1400
Casagrand Flagship,Chennai,1,"Sep, 2025","Pallikaranai, Chennai",0.9,2,1.48,,,Builder,Casagrand,1000,1300
Casagrand Mercury,Chennai,2," Sep, 2027","Perambur, Chennai",1.03,3,1.62,,,Builder,Casagrand,1000,1400
Keya Around The Life,banglore,3," Nov, 2024","Whitefield, Bangalore",1.85,4,2.5,,,Builder,Keya Homes,2500,3000
Prestige Raintree Park,banglore,3," Jul, 2027","Whitefield, Bangalore",3.29,4,4.07,5,5.07,Builder,Prestige Group,3000,5500
